Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
11.2,260,0.031674208144796344,0.0,0,3,1
11.2,330,0.01345291479820631,0.0,1,3,1
11.2,400,0.018018018018018115,-0.0044642857142856195,2,3,1
11.15,395,0.009009009009008978,-0.004484304932735489,3,3,1
10.9,420,0.018348623853210944,-0.004587155963302818,4,3,1
10.85,605,0.028037383177570162,-0.004608294930875478,0,3,1
10.7,605,0.018867924528301987,0.0,1,3,1
11.1,605,0.0660377358490567,0.009009009009008978,2,3,1
11.5,1375,0.044642857142857144,0.008695652173913012,3,3,1
11.5,1375,0.017543859649122744,0.017391304347826025,4,3,1
12.35,1755,0.07758620689655175,0.01214574898785428,0,3,1
12.7,1810,0.04,-0.003937007874015665,1,3,1
12.65,2015,0.03200000000000003,0.0,2,4,2
12.4,1580,0.054166666666666696,0.0,3,4,2
12.4,1630,0.03333333333333336,0.012096774193548416,4,4,2
13.1,2905,0.06451612903225798,-0.007633587786259515,0,4,2
13.8,3215,0.06923076923076926,-0.007246376811594305,1,4,2
14.5,3085,0.06934306569343074,0.01034482758620692,2,4,2
15.0,2690,0.058020477815699634,0.0,3,4,2
15.25,2700,0.07023411371237463,0.04918032786885246,4,4,2
17.5,1790,0.09375,0.017142857142857182,0,4,2
19.25,3180,0.08146067415730333,0.0077922077922077185,1,4,2
18.5,4060,0.10000000000000003,0.005405405405405482,2,4,2
18.95,3730,0.07909604519774023,0.002638522427440671,3,4,2
18.7,3830,0.04324324324324328,0.0053475935828877766,4,4,2
18.05,2060,0.06145251396648053,-0.0027700831024931143,0,4,2
18.0,3975,0.05475504322766566,-0.008333333333333255,1,4,2
19.0,3335,0.06442577030812316,0.007894736842105189,2,4,2
19.8,3685,0.033942558746736406,0.007575757575757504,3,4,2
20.35,4565,0.03517587939698507,-0.15479115479115488,4,4,2
16.9,3575,0.0487804878048781,0.008875739644970541,0,4,2
17.3,3690,0.07142857142857138,-0.005780346820809331,1,4,2
17.45,2510,0.023255813953488497,0.008595988538682072,2,4,2
17.5,3120,0.03179190751445091,0.00857142857142849,3,4,2
18.0,2595,0.04815864022662898,0.008333333333333255,6,5,2
18.3,3095,0.027777777777777776,0.008196721311475332,0,5,2
19.95,2980,0.10497237569060765,0.00751879699248131,1,5,2
20.35,2695,0.11940298507462678,-0.007371007371007475,2,5,2
19.5,2770,0.12222222222222218,0.007692307692307619,3,5,2
19.35,3270,0.0756756756756756,0.00775193798449605,4,5,2
19.3,2540,0.07734806629834245,0.007772020725388527,0,5,2
22.4,5585,0.1568123393316196,0.004464285714285778,1,5,2
21.5,3305,0.07142857142857142,0.006976744186046446,2,5,2
21.2,2830,0.09000000000000004,-0.007075471698113141,3,5,2
21.3,3810,0.08457711442786066,-0.004694835680751241,4,5,2
22.9,5655,0.12745098039215694,0.004366812227074298,0,5,2
23.5,4290,0.0347826086956522,0.006382978723404195,1,5,2
22.8,7115,0.07017543859649113,0.00657894736842099,2,5,2
23.0,3965,0.08564814814814804,0.006521739130434721,3,5,2
23.4,6450,0.08181818181818185,0.006410256410256502,4,5,2
24.8,6085,0.06896551724137938,0.0,0,5,2
25.95,6675,0.06048387096774193,0.005780346820809331,1,5,2
25.8,4485,0.03162055335968382,-0.005813953488372175,2,5,2
25.5,4490,0.04032258064516129,0.005882352941176415,3,5,2
25.4,4210,0.036363636363636306,0.005905511811023706,4,5,2
25.9,4390,0.037181996086105645,-0.017374517374517347,0,6,2
24.8,2520,0.038775510204081605,0.006048387096774136,1,6,2
22.05,2030,0.13409090909090907,0.0,2,6,2
23.0,4615,0.19693094629156,0.006521739130434721,3,6,2
22.7,5685,0.06787330316742081,0.006607929515418596,4,6,2
22.0,2545,0.07783018867924539,0.006818181818181754,0,6,2
20.55,1820,0.10749999999999993,-0.02189781021897807,1,6,2
21.25,2370,0.10101010101010101,0.0,2,6,2
20.6,1325,0.036585365853658534,-0.007281553398058355,3,6,2
21.0,2195,0.03960396039603964,-0.00952380952380949,4,6,2
19.75,1745,0.05316455696202535,-0.007594936708860687,0,6,2
18.1,2835,0.10112359550561802,-0.008287292817679676,1,6,2
20.8,5830,0.24999999999999994,0.0072115384615383925,2,6,2
19.2,5895,0.1444141689373296,0.0,3,6,2
19.4,2960,0.0702702702702703,-0.007731958762886525,4,6,2
18.5,3345,0.06944444444444445,-0.00810810810810803,0,6,2
19.0,1945,0.05555555555555555,0.0,1,6,2
18.55,1480,0.032608695652173995,0.00808625336927216,2,6,2
18.8,1025,0.01604278074866314,0.007978723404255244,3,6,2
19.9,4965,0.05804749340369401,0.005025125628140776,4,6,2
22.1,6690,0.11500000000000003,0.006787330316742017,0,6,2
23.5,6930,0.06067415730337085,0.0,1,6,2
